TIPO,CATEGORIA,SUBCATEGORIA (Español),FAMILIA (Español),Nombre del Producto en Inglés (CALIDAD),Nombre del Producto en Español,Descripción MKT,Características,Cod SAP local,EAN ,Merch Code,Status 2023
TIPO,CATEGORIA,SUBCATEGORIA (Español),FAMILIA (Español),Nombre del Producto en Inglés (CALIDAD),Nombre del Producto en Español,Descripción MKT,Características,Cod SAP local,EAN ,Merch Code,Status 2023
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Fortalecedor,Quitaesmalte Clásico Fortalecedor para Uñas,Quitaesmalte Fortalecedor para uñas débiles. Su fórmula incluye calcio & Vitamina E. Libre de acetona.,"Efecto Fortalecedor.
Libre de acetona.
Fórmula con Glicerina, Calcio y vitamina E.",7225079000,7790416066532,100ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Fortalecedor,Quitaesmalte Clásico Fortalecedor para Uñas,Quitaesmalte Fortalecedor para uñas débiles. Su fórmula incluye calcio & Vitamina E. Libre de acetona.,"Efecto Fortalecedor.
Libre de acetona.
Fórmula con Glicerina, Calcio y vitamina E.",7225078000,7790416066525,50ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Humectante,Quitaesmalte Clásico Humectante para Uñas,Quitaesmalte Humectante para uñas y piel secas. Su fórmula incluye aceite de almendras para garantizar la humectación. Libre de acetona.,"Efecto Humectante.
Libre de acetona.
Fórmula con Aceite de Almendras y Pantenol.",7225077000,7790416066433,100ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Humectante,Quitaesmalte Clásico Humectante para Uñas,Quitaesmalte Humectante para uñas y piel secas. Su fórmula incluye aceite de almendras para garantizar la humectación. Libre de acetona.,"Efecto Humectante.
Libre de acetona.
Fórmula con Aceite de Almendras y Pantenol.",7225076000,7790416066426,50ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Hipoalergénico,Quitaesmalte Clásico Hipoalergénico para Uñas,Quitaesmalte Hipoalergénico para uñas y piel sensible. Su fórmula incluye extra glicerina y proteínas de seda. Libre de acetona.,"Efecto Hipoalergénico.
Libre de acetona.
Fórmula con Glicerina y Aminoácidos de Seda",7225081000,7790416066631,100ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Hipoalergénico,Quitaesmalte Clásico Hipoalergénico para Uñas,Quitaesmalte Hipoalergénico para uñas y piel sensible. Su fórmula incluye extra glicerina y proteínas de seda. Libre de acetona.,"Efecto Hipoalergénico.
Libre de acetona.
Fórmula con Glicerina y Aminoácidos de Seda",7225080000,7790416066624,50ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Nature,Quitaesmalte Clásico Nature para Uñas,"Fórmulado con extracto de orquídeas, Vitamina E y acción antioxidante que mantiene y protege la salud de tus uñas.
 
Suave fragancia con notas de bergamota y rosas para un aroma agradable en las manos.","• Dermatológicamente testeado.
• Libre de Acetona.
• 100% vegano.
• Cruelty Free
• Evase 100% reciclable",7268614000,7790416016247,50ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Nature,Quitaesmalte Clásico Nature para Uñas,"Fórmula con extracto de orquídeas. 
Mantiene y protege la salud de tus uñas.
 Suave fragancia con notas de bergamota y rosas para un aroma agradable en las manos.","• Dermatológicamente testeado.
• Libre de Acetona.
• 100% vegano.
• Cruelty Free
• Evase 100% reciclable",7268615000,7790416016254,100ml,Regular
Cutex,Uñas,Quitaesmalte,Cutex,Quitaesmalte - Experto Removedor,Quitaesmalte Experto Removedor con Acetona para uñas,"Quitaesmalte Experto Removedor con Acetona para remover esmaltes en gel UV, semipermanente y colores oscuros.

. Dermatológicamente aprobado.
. Fórmula reforzada con aceite nutritivo de damasco deja las uñas y cutículas hidratadas, más fuertes y con aspecto saludable.
. Fórmula 100% vegana y Cruelty Free (No testeado en animales).
. Ingredientes: Acetone, Water, Linum Usitatissimum Linseed Seed Oil, Perilla Ocymoides Seed Oil, Prunus Armeniaca Apricot Kernel Oil, Fragrance, Benzyl Salicylate, Linalool, Hexyl Cinnamal, Denatonium Benzoate.","Tips de aplicación

PARA REMOVER ESMALTE REGULAR
Humedecer un algodón, presionar y frotar sobre la uña hasta eliminar el esmalte.

PARA REMOVER ESMALTE EN GEL        
1) Con una lima, pulir suavemente la capa superior y bordes de cada uña. 
2) Remojar un trozo de algodón y colocarlo sobre cada uña. 
3) Envolver con papel de aluminio alrededor del algodón y de las uñas, ejerciendo presión. 
4) Esperar de 15 a 20 minutos. Retirar haciendo una ligera presión y un movimiento giratorio. (Puede llevar más tiempo dependiendo la condición de las uñas y tiempo transcurrido desde la aplicación del esmaltado). 
5) Con ayuda de una barra de cutícula o un palito de madera, remover el remanente de esmalte si lo hubiera, desde el área de la cutícula hasta el borde libre. Si aún quedan restos repetir el proceso por unos 2 a 5 minutos. 
6) Lavar las manos y limar las uñas para lograr un acabado suave.
",7266402000,7790416012591,100ml,Regular
